Latitude; Longitude ;Altitude
-23.51607101399849;-47.31891351303004;693.7869262695312
-23.5051079086794;-47.31812496434095;677.2806396484375
-23.49415908608234;-47.317128051766296;690.9320068359375
-23.48322787695017;-47.3159231303921;669.7344970703125
-23.472317605843287;-47.31451061827013;654.0524291992188
-23.46143159013418;-47.31289099622917;618.7782592773438
-23.450573139005137;-47.311064807667705;685.1666259765625
-23.439745552449416;-47.30903265832852;643.0364990234375
-23.42895212027611;-47.3067952160549;659.0321044921875
-23.41819612111913;-47.304353210528944;742.7740478515625
-23.407480821450417;-47.30170743299191;668.7620239257812
-23.396809474597795;-47.29885873594691;633.805419921875
-23.38618531976771;-47.29580803284392;711.1197509765625
-23.37561158107315;-47.292556297747424;675.4834594726562
-23.365091466566938;-47.28910456498686;629.9410400390625
-23.3546281672808;-47.28545392878983;684.6355590820312
-23.344224856270387;-47.28160554289855;621.4542236328125
-23.33388468766656;-47.277560620169446;656.0025024414062
-23.32361079573317;-47.27332043215616;640.23828125
-23.313406293931667;-47.268886308676265;615.365234375
-23.30327427399268;-47.264259637361725;608.1156005859375
