Latitude; Longitude 
-22.95166387964316;-46.844562640357026
-22.94837489102345;-46.83317844226748
-22.94526852871053;-46.82173417916932
-22.942345726316326;-46.81023329411007
-22.93960736222821;-46.79867924647378
-22.937054259355225;-46.78707551097916
-22.934687184890496;-46.775425576674
-22.9325068500897;-46.76373294592615
-22.93051391006578;-46.752001133411234
-22.92870896359985;-46.74023366509747
-22.927092552968425;-46.72843407722771
-22.925665163786963;-46.71660591529905
-22.924427224869778;-46.704752733040145
-22.923379108106335;-46.69287809138666
-22.922521128354024;-46.68098555745484
-22.921853543347318;-46.669078703513755
-22.921376553623478;-46.65716110595616
-22.921090302464716;-46.64523634426849
