type	latitude	longitude	altitude (m)	distance (km)	name	desc	angle
W	-23.267661749	-47.233645993	756.2	2.760	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2760</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.267792442	-47.233389257	755.7	2.790	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2790</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.267923135	-47.233132520	756.1	2.820	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2820</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.268053827	-47.232875783	756.5	2.850	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2850</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.268184519	-47.232619045	756.9	2.880	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2880</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.268315210	-47.232362306	754.2	2.910	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2910</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.268445902	-47.232105567	747.1	2.940	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2940</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.268576592	-47.231848828	740.9	2.970	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2970</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.268707283	-47.231592088	737.0	3.000	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>3000</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.268837972	-47.231335347	735.4	3.030	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>3030</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.268968662	-47.231078606	732.6	3.060	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>3060</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.269099351	-47.230821864	728.9	3.090	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>3090</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.269230040	-47.230565122	727.1	3.120	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>3120</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.269360728	-47.230308379	724.4	3.150	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>3150</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.269491416	-47.230051636	721.0	3.180	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>3180</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.269622104	-47.229794892	721.4	3.210	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>3210</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.269752791	-47.229538148	722.8	3.240	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>3240</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.269883478	-47.229281403	724.1	3.270	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>3270</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
